act_id,act_base,congress,stat_volume,date_text,year,act_section,stat_page,us_title,us_section,status,source_file
1790:9,1790_9,1st Cong.,1 Stat.,"Apr. 30, 1790",1790,1,112,,,R.S. Sec 5331,1790_9_20250926_173738.html
1790:9,1790_9,1st Cong.,1 Stat.,"Apr. 30, 1790",1790,2,112,,,R.S. Sec 5333,1790_9_20250926_173738.html
1790:9,1790_9,1st Cong.,1 Stat.,"Apr. 30, 1790",1790,3,113,,,R.S. Sec 5339,1790_9_20250926_173738.html
1790:9,1790_9,1st Cong.,1 Stat.,"Apr. 30, 1790",1790,4,113,,,R.S. Sec 5340,1790_9_20250926_173738.html
1790:9,1790_9,1st Cong.,1 Stat.,"Apr. 30, 1790",1790,5,113,,,R.S. Sec 5402,1790_9_20250926_173738.html
1790:9,1790_9,1st Cong.,1 Stat.,"Apr. 30, 1790",1790,6,113,,,R.S. Sec 5390,1790_9_20250926_173738.html
1790:9,1790_9,1st Cong.,1 Stat.,"Apr. 30, 1790",1790,7,113,,,R.S. Sec 5341,1790_9_20250926_173738.html
1790:9,1790_9,1st Cong.,1 Stat.,"Apr. 30, 1790",1790,7,113,,,R.S. Sec 5343,1790_9_20250926_173738.html
1790:9,1790_9,1st Cong.,1 Stat.,"Apr. 30, 1790",1790,8,113,,,R.S. Sec 730,1790_9_20250926_173738.html
1790:9,1790_9,1st Cong.,1 Stat.,"Apr. 30, 1790",1790,8,113,,,R.S. Sec 5360,1790_9_20250926_173738.html
1790:9,1790_9,1st Cong.,1 Stat.,"Apr. 30, 1790",1790,8,113,,,R.S. Sec 5369,1790_9_20250926_173738.html
1790:9,1790_9,1st Cong.,1 Stat.,"Apr. 30, 1790",1790,8,113,,,R.S. Sec 5372,1790_9_20250926_173738.html
1790:9,1790_9,1st Cong.,1 Stat.,"Apr. 30, 1790",1790,8,113,,,R.S. Sec 5383,1790_9_20250926_173738.html
1790:9,1790_9,1st Cong.,1 Stat.,"Apr. 30, 1790",1790,9,114,,,R.S. Sec 5373,1790_9_20250926_173738.html
1790:9,1790_9,1st Cong.,1 Stat.,"Apr. 30, 1790",1790,10,114,,,R.S. Sec 5323,1790_9_20250926_173738.html
1790:9,1790_9,1st Cong.,1 Stat.,"Apr. 30, 1790",1790,11,114,,,R.S. Sec 5324,1790_9_20250926_173738.html
1790:9,1790_9,1st Cong.,1 Stat.,"Apr. 30, 1790",1790,11,114,,,R.S. Sec 5533,1790_9_20250926_173738.html
1790:9,1790_9,1st Cong.,1 Stat.,"Apr. 30, 1790",1790,12,115,,,R.S. Sec 5359,1790_9_20250926_173738.html
1790:9,1790_9,1st Cong.,1 Stat.,"Apr. 30, 1790",1790,12,115,,,R.S. Sec 5384,1790_9_20250926_173738.html
1790:9,1790_9,1st Cong.,1 Stat.,"Apr. 30, 1790",1790,13,115,,,R.S. Sec 5348,1790_9_20250926_173738.html
1790:9,1790_9,1st Cong.,1 Stat.,"Apr. 30, 1790",1790,15,115,,,R.S. Sec 5394,1790_9_20250926_173738.html
1790:9,1790_9,1st Cong.,1 Stat.,"Apr. 30, 1790",1790,16,116,,,R.S. Sec 5356,1790_9_20250926_173738.html
1790:9,1790_9,1st Cong.,1 Stat.,"Apr. 30, 1790",1790,17,116,,,R.S. Sec 5357,1790_9_20250926_173738.html
1790:9,1790_9,1st Cong.,1 Stat.,"Apr. 30, 1790",1790,18,116,,,R.S. Sec 5392,1790_9_20250926_173738.html
1790:9,1790_9,1st Cong.,1 Stat.,"Apr. 30, 1790",1790,18,116,,,R.S. Sec 5393,1790_9_20250926_173738.html
1790:9,1790_9,1st Cong.,1 Stat.,"Apr. 30, 1790",1790,19,116,,,R.S. Sec 5396,1790_9_20250926_173738.html
1790:9,1790_9,1st Cong.,1 Stat.,"Apr. 30, 1790",1790,20,116,,,R.S. Sec 5397,1790_9_20250926_173738.html
1790:9,1790_9,1st Cong.,1 Stat.,"Apr. 30, 1790",1790,21,117,,,R.S. Sec 5449,1790_9_20250926_173738.html
1790:9,1790_9,1st Cong.,1 Stat.,"Apr. 30, 1790",1790,21,117,,,R.S. Sec 5499,1790_9_20250926_173738.html
1790:9,1790_9,1st Cong.,1 Stat.,"Apr. 30, 1790",1790,22,117,,,R.S. Sec 5398,1790_9_20250926_173738.html
1790:9,1790_9,1st Cong.,1 Stat.,"Apr. 30, 1790",1790,22,117,,,R.S. Sec 5446,1790_9_20250926_173738.html
1790:9,1790_9,1st Cong.,1 Stat.,"Apr. 30, 1790",1790,23,117,,,R.S. Sec 5400,1790_9_20250926_173738.html
1790:9,1790_9,1st Cong.,1 Stat.,"Apr. 30, 1790",1790,23,117,,,R.S. Sec 5401,1790_9_20250926_173738.html
1790:9,1790_9,1st Cong.,1 Stat.,"Apr. 30, 1790",1790,24,117,,,R.S. Sec 5326,1790_9_20250926_173738.html
1790:9,1790_9,1st Cong.,1 Stat.,"Apr. 30, 1790",1790,25,117,,,R.S. Sec 4063,1790_9_20250926_173738.html
1790:9,1790_9,1st Cong.,1 Stat.,"Apr. 30, 1790",1790,26,117,,,R.S. Sec 4064,1790_9_20250926_173738.html
1790:9,1790_9,1st Cong.,1 Stat.,"Apr. 30, 1790",1790,27,117,,,R.S. Sec 4065,1790_9_20250926_173738.html
1790:9,1790_9,1st Cong.,1 Stat.,"Apr. 30, 1790",1790,27,117,,,R.S. Sec 4066,1790_9_20250926_173738.html
1790:9,1790_9,1st Cong.,1 Stat.,"Apr. 30, 1790",1790,28,118,,,R.S. Sec 4062,1790_9_20250926_173738.html
