act_id,act_base,congress,stat_volume,date_text,year,act_section,stat_page,us_title,us_section,status,source_file
,1789_1,,,,,2,23,,,R.S. Sec 28,1789_1_20250926_180824.html
,1789_1,,,,,2,23,,,R.S. Sec 29,1789_1_20250926_180824.html
,1789_1,,,,,2,23,,,R.S. Sec 30,1789_1_20250926_180824.html
,1789_1,,,,,3,23,,,R.S. Sec 1836,1789_1_20250926_180824.html
,1789_1,,,,,3,23,,,R.S. Sec 1837,1789_1_20250926_180824.html
,1789_4,,,,,1,28,,,R.S. Sec 161,1789_4_20250926_180938.html
,1789_4,,,,,1,28,,,R.S. Sec 199,1789_4_20250926_180938.html
,1789_4,,,,,1,28,,,R.S. Sec 202,1789_4_20250926_180938.html
,1789_4,,,,,2,29,,,R.S. Sec 203,1789_4_20250926_180938.html
,1789_4,,,,,4,29,,,R.S. Sec 203,1789_4_20250926_180938.html
,1789_7,,,,,1,49,,,R.S. Sec 161,1789_7_20250926_180938.html
,1789_7,,,,,1,49,,,R.S. Sec 214,1789_7_20250926_180938.html
,1789_7,,,,,1,49,,,R.S. Sec 216,1789_7_20250926_180938.html
,1789_7,,,,,2,50,,,R.S. Sec 217,1789_7_20250926_180938.html
,1789_7,,,,,4,50,,,R.S. Sec 217,1789_7_20250926_180938.html
,1789_9,,,,,4,54,,,R.S. Sec 4235,1789_9_20250926_180938.html
,1789_12,,,,,1,65,,,R.S. Sec 161,1789_12_20250926_180824.html
,1789_12,,,,,1,65,,,R.S. Sec 233,1789_12_20250926_180824.html
,1789_12,,,,,1,65,,,R.S. Sec 257,1789_12_20250926_180824.html
,1789_12,,,,,1,65,,,R.S. Sec 268,1789_12_20250926_180824.html
,1789_12,,,,,1,65,,,R.S. Sec 276,1789_12_20250926_180824.html
,1789_12,,,,,1,65,,,R.S. Sec 301,1789_12_20250926_180824.html
,1789_12,,,,,1,65,,,R.S. Sec 312,1789_12_20250926_180824.html
,1789_12,,,,,2,65,,,R.S. Sec 248,1789_12_20250926_180824.html
,1789_12,,,,,2,65,,,R.S. Sec 3669,1789_12_20250926_180824.html
,1789_12,,,,,3,66,,,R.S. Sec 269,1789_12_20250926_180824.html
,1789_12,,,,,4,66,,,R.S. Sec 302,1789_12_20250926_180824.html
,1789_12,,,,,4,66,,,R.S. Sec 305,1789_12_20250926_180824.html
,1789_12,,,,,4,66,,,R.S. Sec 311,1789_12_20250926_180824.html
,1789_12,,,,,6,67,,,R.S. Sec 313,1789_12_20250926_180824.html
,1789_12,,,,,6,67,,,R.S. Sec 3675,1789_12_20250926_180824.html
,1789_12,,,,,8,67,,,R.S. Sec 243,1789_12_20250926_180824.html
,1789_12,,,,,8,67,,,R.S. Sec 1788,1789_12_20250926_180824.html
,1789_12,,,,,8,67,,,R.S. Sec 1789,1789_12_20250926_180824.html
,1789_14,,,,,1,68,,,R.S. Sec 161,1789_14_20250926_180824.html
,1789_14,,,,,1,68,,,R.S. Sec 199,1789_14_20250926_180824.html
,1789_14,,,,,1,68,,,R.S. Sec 202,1789_14_20250926_180824.html
,1789_14,,,,,2,68,,,R.S. Sec 204,1789_14_20250926_180824.html
,1789_14,,,,,3,68,,,R.S. Sec 1793,1789_14_20250926_180824.html
,1789_14,,,,,4,68,,,R.S. Sec 1794,1789_14_20250926_180824.html
,1789_14,,,,,5,69,,,R.S. Sec 882,1789_14_20250926_180824.html
,1789_14,,,,,6,69,,,R.S. Sec 71,1789_14_20250926_180824.html
,1789_14,,,,,6,69,,,R.S. Sec 213,1789_14_20250926_180824.html
,1789_14,,,,,7,69,,,R.S. Sec 203,1789_14_20250926_180824.html
,1789_19,,,,,,72,,,R.S. Sec 153,1789_19_20250926_180824.html
,1789_20,,,,,1,73,,,R.S. Sec 530,1789_20_20250926_180938.html
,1789_20,,,,,1,73,,,R.S. Sec 674,1789_20_20250926_180938.html
,1789_20,,,,,1,73,,,R.S. Sec 675,1789_20_20250926_180938.html
,1789_20,,,,,2,73,,,R.S. Sec 531,1789_20_20250926_180938.html
,1789_20,,,,,3,73,,,R.S. Sec 551,1789_20_20250926_180938.html
,1789_20,,,,,3,73,,,R.S. Sec 552,1789_20_20250926_180938.html
,1789_20,,,,,3,73,,,R.S. Sec 562,1789_20_20250926_180938.html
,1789_20,,,,,3,73,,,R.S. Sec 581,1789_20_20250926_180938.html
,1789_20,,,,,3,74,,,R.S. Sec 572,1789_20_20250926_180938.html
,1789_20,,,,,4,74,,,R.S. Sec 604,1789_20_20250926_180938.html
,1789_20,,,,,4,74,,,R.S. Sec 608,1789_20_20250926_180938.html
,1789_20,,,,,4,74,,,R.S. Sec 614,1789_20_20250926_180938.html
,1789_20,,,,,5,75,,,R.S. Sec 658,1789_20_20250926_180938.html
,1789_20,,,,,5,75,,,R.S. Sec 661,1789_20_20250926_180938.html
,1789_20,,,,,6,76,,,R.S. Sec 583,1789_20_20250926_180938.html
,1789_20,,,,,6,76,,,R.S. Sec 602,1789_20_20250926_180938.html
,1789_20,,,,,6,76,,,R.S. Sec 671,1789_20_20250926_180938.html
,1789_20,,,,,7,76,,,R.S. Sec 555,1789_20_20250926_180938.html
,1789_20,,,,,7,76,,,R.S. Sec 619,1789_20_20250926_180938.html
,1789_20,,,,,7,76,,,R.S. Sec 677,1789_20_20250926_180938.html
,1789_20,,,,,7,76,,,R.S. Sec 782,1789_20_20250926_180938.html
,1789_20,,,,,7,76,,,R.S. Sec 794,1789_20_20250926_180938.html
,1789_20,,,,,7,76,,,R.S. Sec 795,1789_20_20250926_180938.html
,1789_20,,,,,8,76,,,R.S. Sec 712,1789_20_20250926_180938.html
,1789_20,,,,,9,76,,,R.S. Sec 563,1789_20_20250926_180938.html
,1789_20,,,,,9,76,,,R.S. Sec 566,1789_20_20250926_180938.html
,1789_20,,,,,9,76,,,R.S. Sec 629,1789_20_20250926_180938.html
,1789_20,,,,,9,76,,,R.S. Sec 711,1789_20_20250926_180938.html
,1789_20,,,,,9,76,,,R.S. Sec 734,1789_20_20250926_180938.html
,1789_20,,,,,10,77,,,R.S. Sec 1002,1789_20_20250926_180938.html
,1789_20,,,,,11,78,,,R.S. Sec 629,1789_20_20250926_180938.html
,1789_20,,,,,11,78,,,R.S. Sec 711,1789_20_20250926_180938.html
,1789_20,,,,,11,79,,,R.S. Sec 739,1789_20_20250926_180938.html
,1789_20,,,,,12,79,,,R.S. Sec 639,1789_20_20250926_180938.html
,1789_20,,,,,12,79,,,R.S. Sec 646,1789_20_20250926_180938.html
,1789_20,,,,,12,79,,,R.S. Sec 647,1789_20_20250926_180938.html
,1789_20,,,,,12,79,,,R.S. Sec 648,1789_20_20250926_180938.html
,1789_20,,,,,13,80,,,R.S. Sec 687,1789_20_20250926_180938.html
,1789_20,,,,,13,80,,,R.S. Sec 688,1789_20_20250926_180938.html
,1789_20,,,,,13,80,,,R.S. Sec 689,1789_20_20250926_180938.html
,1789_20,,,,,13,80,,,R.S. Sec 690,1789_20_20250926_180938.html
,1789_20,,,,,13,80,,,R.S. Sec 711,1789_20_20250926_180938.html
,1789_20,,,,,14,81,,,R.S. Sec 716,1789_20_20250926_180938.html
,1789_20,,,,,14,81,,,R.S. Sec 751,1789_20_20250926_180938.html
,1789_20,,,,,14,81,,,R.S. Sec 752,1789_20_20250926_180938.html
,1789_20,,,,,14,81,,,R.S. Sec 753,1789_20_20250926_180938.html
,1789_20,,,,,15,82,,,R.S. Sec 724,1789_20_20250926_180938.html
,1789_20,,,,,16,82,,,R.S. Sec 723,1789_20_20250926_180938.html
,1789_20,,,,,17,83,,,R.S. Sec 725,1789_20_20250926_180938.html
,1789_20,,,,,17,83,,,R.S. Sec 726,1789_20_20250926_180938.html
,1789_20,,,,,18,83,,,R.S. Sec 987,1789_20_20250926_180938.html
,1789_20,,,,,20,83,,,R.S. Sec 968,1789_20_20250926_180938.html
,1789_20,,,,,21,83,,,R.S. Sec 631,1789_20_20250926_180938.html
,1789_20,,,,,22,84,,,R.S. Sec 633,1789_20_20250926_180938.html
,1789_20,,,,,22,84,,,R.S. Sec 691,1789_20_20250926_180938.html
,1789_20,,,,,22,84,,,R.S. Sec 700,1789_20_20250926_180938.html
,1789_20,,,,,22,84,,,R.S. Sec 997,1789_20_20250926_180938.html
,1789_20,,,,,22,84,,,R.S. Sec 998,1789_20_20250926_180938.html
,1789_20,,,,,22,84,,,R.S. Sec 999,1789_20_20250926_180938.html
,1789_20,,,,,22,84,,,R.S. Sec 1000,1789_20_20250926_180938.html
,1789_20,,,,,22,84,,,R.S. Sec 1011,1789_20_20250926_180938.html
,1789_20,,,,,23,85,,,R.S. Sec 1007,1789_20_20250926_180938.html
,1789_20,,,,,23,85,,,R.S. Sec 1010,1789_20_20250926_180938.html
,1789_20,,,,,24,85,,,R.S. Sec 701,1789_20_20250926_180938.html
,1789_20,,,,,25,85,,,R.S. Sec 709,1789_20_20250926_180938.html
,1789_20,,,,,25,85,,,R.S. Sec 710,1789_20_20250926_180938.html
,1789_20,,,,,25,85,,,R.S. Sec 1003,1789_20_20250926_180938.html
,1789_20,,,,,25,85,,,R.S. Sec 1010,1789_20_20250926_180938.html
,1789_20,,,,,25,85,,,R.S. Sec 1017,1789_20_20250926_180938.html
,1789_20,,,,,26,87,,,R.S. Sec 961,1789_20_20250926_180938.html
,1789_20,,,,,27,87,,,R.S. Sec 680,1789_20_20250926_180938.html
,1789_20,,,,,27,87,,,R.S. Sec 776,1789_20_20250926_180938.html
,1789_20,,,,,27,87,,,R.S. Sec 779,1789_20_20250926_180938.html
,1789_20,,,,,27,87,,,R.S. Sec 780,1789_20_20250926_180938.html
,1789_20,,,,,27,87,,,R.S. Sec 782,1789_20_20250926_180938.html
,1789_20,,,,,27,87,,,R.S. Sec 783,1789_20_20250926_180938.html
,1789_20,,,,,27,87,,,R.S. Sec 787,1789_20_20250926_180938.html
,1789_20,,,,,28,87,,,R.S. Sec 789,1789_20_20250926_180938.html
,1789_20,,,,,28,87,,,R.S. Sec 790,1789_20_20250926_180938.html
,1789_20,,,,,28,87,,,R.S. Sec 922,1789_20_20250926_180938.html
,1789_20,,,,,29,88,,,R.S. Sec 729,1789_20_20250926_180938.html
,1789_20,,,,,29,88,,,R.S. Sec 802,1789_20_20250926_180938.html
,1789_20,,,,,29,88,,,R.S. Sec 803,1789_20_20250926_180938.html
,1789_20,,,,,29,88,,,R.S. Sec 804,1789_20_20250926_180938.html
,1789_20,,,,,29,88,,,R.S. Sec 810,1789_20_20250926_180938.html
,1789_20,,,,,30,88,,,R.S. Sec 861,1789_20_20250926_180938.html
,1789_20,,,,,30,88,,,R.S. Sec 863,1789_20_20250926_180938.html
,1789_20,,,,,30,88,,,R.S. Sec 864,1789_20_20250926_180938.html
,1789_20,,,,,30,88,,,R.S. Sec 865,1789_20_20250926_180938.html
,1789_20,,,,,30,88,,,R.S. Sec 866,1789_20_20250926_180938.html
,1789_20,,,,,31,90,,,R.S. Sec 955,1789_20_20250926_180938.html
,1789_20,,,,,31,90,,,R.S. Sec 956,1789_20_20250926_180938.html
,1789_20,,,,,32,91,,,R.S. Sec 954,1789_20_20250926_180938.html
,1789_20,,,,,33,91,,,R.S. Sec 727,1789_20_20250926_180938.html
,1789_20,,,,,33,91,,,R.S. Sec 879,1789_20_20250926_180938.html
,1789_20,,,,,33,91,,,R.S. Sec 1014,1789_20_20250926_180938.html
,1789_20,,,,,33,91,,,R.S. Sec 1015,1789_20_20250926_180938.html
,1789_20,,,,,33,91,,,R.S. Sec 1016,1789_20_20250926_180938.html
,1789_20,,,,,34,92,,,R.S. Sec 721,1789_20_20250926_180938.html
,1789_20,,,,,35,92,,,R.S. Sec 346,1789_20_20250926_180938.html
,1789_20,,,,,35,92,,,R.S. Sec 354,1789_20_20250926_180938.html
,1789_20,,,,,35,92,,,R.S. Sec 359,1789_20_20250926_180938.html
,1789_20,,,,,35,92,,,R.S. Sec 747,1789_20_20250926_180938.html
,1789_20,,,,,35,92,,,R.S. Sec 767,1789_20_20250926_180938.html
,1789_20,,,,,35,92,,,R.S. Sec 769,1789_20_20250926_180938.html
,1789_20,,,,,35,92,,,R.S. Sec 771,1789_20_20250926_180938.html
,1789_21,,,,,2,93,,,R.S. Sec 913,1789_21_20250926_180938.html
