former_title,former_section,new_section_text
16,1,1
16,2,2
16,3,3
16,4,4
16,5,5
16,6,6
16,21,101
16,22,102
16,23,103
16,24,104
16,25,105
16,26,106
16,27,107
16,28,108
16,29,109
16,29a,110
16,29b,111
16,30,112
16,30a,113
16,31,114
16,51a,201
16,52,202
16,53,203
16,54,204
16,54a,205
16,54b,206
16,54c,207
16,54d,208
16,55,209
16,56,210
16,57,211
16,58,212
16,59,213
16,60,Rep.
16,1,1
16,2,3
16,3,4
16,4,2
16,5,7
16,5a,7
16,6,5
16,7,6
16,7a,6
16,8,8
16,9,9
16,9a,9
16,10,10
16,11,11
16,11a,11
16,11b,12
16,11c,13
16,12,"11, 12"
16,13,13
16,14,11
16,15,11
16,16,14
16,17,15
16,18,18
16,19,17
16,20,16
16,21,19
16,22,19
16,23,20
16,24,19
16,41,101
16,42,102
16,43,103
16,44,104
16,45,105
16,45a,106
16,46,107
16,47,108
16,48,109
16,49,110
16,50,109
16,51,109
16,52,109
16,53,201
16,54,Elim.
16,61,202
16,62,203
16,62a,205
16,62b,206
16,63,204
16,64,207
16,65,Rep.
16,66,Rep.
16,67,208
16,1,1
16,2,2
16,3,3
16,4,41
16,5,42
16,6,71
16,7,72
16,8,73
16,9,101
16,10,102
16,11,103
16,12,104
16,13,105
16,14,106
16,15,107
16,16,108
16,17,109
16,18,110
16,"1, 2",101
16,3,Rep.
16,4,3345
16,5,3346
16,6,3347
16,7,3348
16,8,3349
16,9,5535
16,10,2901
16,"11, 12",2902
16,"13–14a, 15",Rep.
16,16,3331
16,16a,"2903, 2904"
16,"17, 17a",Rep.
16,"17b, 17c",2905
16,18,2903
16,19,Rep.
16,20,2904
16,21,2906
16,21a,3332
16,21b,5507
16,22,301
16,22–1 (less 3d–5th provisos),7532
16,22–1 (3d proviso),"3571, 5594"
16,22–1 (4th and 5th provisos),7312
16,22–2,7533
16,22–3,7531
16,22a,302
16,23–26c,Rep.
16,27,6106
16,28,6105
16,"29, 29a, 30 to 30b–1, 30c to 30e–1, 30f–30m",Rep.
16,30n,6322
16,30n–1,T. 28 § 1823
16,30o,5537
16,30p,5515
16,30q,6321
16,30r(a),6323
16,30r(b),3551
16,30r(c),"502, 5534"
16,30r(d),2105
16,"31–31b, 32",Rep.
16,33,7154
16,"34–35a, 36–37a",Rep.
16,38,3341
16,"39, 40",3342
16,41,T. 14 § 632
16,"42, 42a",Rep.
16,43,3101
16,43a,3102
16,44,T. 31 § 492–1 (See Rev. T. 31 Table)
16,45,Rep.
16,46,3103
16,46a,5511
16,46b,5513
16,46c,T. 31 § 699a (See Rev. T. 31 Table)
16,"46d, 46e",5514
16,47,3103; T. 18 § 1916
16,47a,8301; T. 10 § 1221
16,48,T. 28 § 514
16,49,3106
16,50,5501; T. 18 § 1916
16,51,5536
16,52,5502
16,53,3108
16,54,3107
16,55,Rep.
16,55a,3109
16,56,5503
16,57–59c,Rep.
16,60,T. 2 § 162
16,61,"D.C. Code, § 31–1009"
16,61a,5552
16,"61a–1(a), (f)",5534a
16,61a–1(b)–(e),Rep.
16,"61b (1st, 2d sentences)",5551
16,61b (3d–5th sentences),6306
16,61b (6th sentence),5551
16,61c–61e,Rep.
16,61f,5582
16,61g,5581
16,61h,5583
16,61i,5581
16,61j,5582
16,61k,5581
16,62–64a,Rep.
16,65,T. 2 § 162
16,66,T. 18 § 1914
16,67,T. 7 § 2220
16,68,T. 8 § 1353c
16,69,"5535, 5536"
16,70,5536
16,"70a, 70b",5945
16,70c,5942
16,71,5536
16,72,5535
16,"73, 73a",Rep.
16,73b,5731
16,"73b–1(a), (b)",5724
16,73b–1(c),5730
16,73b–1(d),5725
16,73b–1(e),5726
16,73b–1(f),5727
16,73b–2,5703
16,73b–3(a) (less 3d–6th provisos),5722
16,"73b–3(a) (3d, 4th provisos)",5728
16,"73b–3(a) (5th, 6th provisos)",5729
16,73b–3 (less (a)),5723
