rs_section,usc_title,usc_section,status
1–6,1,"1–5, 31",Rev. T.
7–11,1,21–25,Rev. T.
"12, 13",1,"28, 29",Rev. T.
14–17,,,Rep.
"18, 19",2,"1a, 1b",
"20, 21",,,Rep.
22,2,6,
"23, 24",,,Rep.
25–27,2,7–9,
"28, 29",2,"21, 22",
30,2,25,
31–33,2,26,
34,2,27,
35,,,Rep.
36,2,6111,
37,,,Rep.
"38, 39",2,"5301, 5302",
40,2,5306,
41,2,4522,
42,,,Rep.
43,2,41,Rep.
44,2,42,Rep.
45,,,Rep.
46,2,4521,
"47, 48",2,5307,
"49, 50",2,38,Rep.
51–53,,,Rep.
54,2,74,Elim.
,2,5561,
"55, 56",2,"60c, 64",Elim.
"57, 58",2,"65, 75",Rep.
59,2,"65, 75",Rep.
"60, 61",2,102,Rep.
"62, 63",2,"103, 104",Elim.
64,2,105,
65–68,2,6569–6571,Rep.
69,2,4104,
70,2,4109,
71,2,6575,
72,2,116,Rep.
73,2,"63, 76",Rep.
74–78,,,Rep.
79,44,321,Rev. T.
80–82,2,131–132a,
"83, 84",2,"134, 135",
85–93,,,Rep.
94,2,137a,Elim.
95,2,137,
"96, 97",2,"144, 145",
98,2,146,
"99, 100",2,"151, 152",
101–104,2,191–194,
105–129,2,201–225,Rep.
130,,,Rep.
131–134,3,1–4,Rev. T.
"135, 136",,,Rep.
137–141,3,"8–11, 13",Rev. T.
142,,,Rep.
143–145,3,14–16,Rev. T.
146–150,,,Rep.
151,3,23,Rev. T.
152–154,3,"41, 42, 44",Rev. T.
155–157,,,Rep.
158–160,5,1–3,Rev. T.
"161, 162",5,"22, 26",Rev. T.
"163, 164",,,Rep.
"165, 166",5,"33, 38",Rev. T.
"167, 168",,,Rep.
"169, 170",5,"43, 51",Rev. T.
"171, 172",,,Rep.
173–175,5,23–25,Rev. T.
176,31,492–1,Rev. T.
177–182,5,4–9,Rev. T.
183–186,5,93–96,Rev. T.
"187, 188",5,"48, 91",Rev. T.
"189, 190",5,"49, 99",Rev. T.
191,,,Rep.
192,5,102,Rev. T.
193,31,492–2,Rev. T.
194,,,Rep.
"195, 196",5,"106, 107",Rev. T.
197,5,109,Rev. T.
198,,,Rep.
199,22,2651,
200,5,152,Rev. T.
201,,,Rep.
"202, 203",22,"2656, 2657",
"204, 205",5,"159, 160",Rev. T.
206,22,2659,
207,46,579,Rev. T.
"208, 209",5,"163, 164",Rev. T.
210 (part),22,2660,
210 (part),44,191a,Rev. T.
211,15,188,
212,,,Rep.
"213, 214",5,"166, 181",Rev. T.
215,5,"185, 186",Rev. T.
"216, 217",5,"190, 191",Rev. T.
218,5,198,Rev. T.
"219, 220",10,"1192, 1363",Rev. T.
221–223,,,Rep.
224,5,199,Rev. T.
225,10,"1302, 1303",Rev. T.
226,5,201,Rev. T.
227,,,Rep.
228–230,5,215–217,Rev. T.
"231, 232",,,Rep.
"233, 234",31,"1001, 1006",Rev. T.
235,,,Rep.
"236, 237",31,"71, 1020",Rev. T.
238,,,Rep.
239,31,1024,Rev. T.
"240, 241",31,"1022, 1025",Rev. T.
242,,,Rep.
243,31,"163, 1003",Rev. T.
244,31,1018,Rev. T.
"245, 246",31,"1007, 1008",Rev. T.
247,,,Rep.
248,31,1002,Rev. T.
249,19,3,
250,,,Rep.
251,15,185,Rep.
,19,66,
,,,I.R.C. '39
,31,427,Rev. T.
"252, 253",,,Rep.
254,31,"428, 429",Rev. T.
"255, 256",,,Rep.
257,31,1027,Rev. T.
258,19,67,Rep.
259,15,183,
260,5,268,Rev. T.
261,31,1024,Rev. T.
262,5,269,Rev. T.
263,15,184,Rep.
264,33,888,Elim.
265,15,187,Rep.
"266, 267",5,"270, 271",Rev. T.
268–273,,,Rep.
274,31,48,Rev. T.
"275, 276",,,Rep.
"277, 278",31,"73, 95",Rev. T.
279,,,Rep.
"280, 281",31,"94, 96",Rev. T.
"282, 283",31,"101, 103",Rev. T.
"284, 285",31,104,Rev. T.
"286, 287",34,"953, 954",Rev. T.
288–290,,,Rep.
"291, 292",31,"107, 109",Rev. T.
"293, 294",31,"111, 112",Rev. T.
295–298,31,115–118,Rev. T.
299,,,Rep.
300,31,119,Rev. T.
"300A, 300B",,,Rep.
301–304,31,141–144,Rev. T.
305,31,147,Rev. T.
306–310,31,149–153,Rev. T.
311,,,Rep.
312,31,161,Rev. T.
313,,,Rep.
"314, 315",31,"164, 165",Rev. T.
"316, 317",,,Rep.
318,31,50,Rev. T.
319,,,I.R.C. '39
320,,,Rep.
321,,,I.R.C. '39
"322, 323",,,Rep.
324,12,1,
325,12,2,
326,12,3,
327,12,4,
327A,12,4a,
327B,12,4b,
328,12,8,
329,12,11,
330,12,12,
331,12,13,
332,,,Rep.
333,12,14,
334,,,Rep.
335,15,176,
"336, 337",15,"173, 174",Rep.
338,15,186,Rep.
339–341,15,179–181,Rep.
342,15,182,
343–345,31,251–253,Rev. T.
"346, 347",5,"291, 293",Rev. T.
348,5,295,Rev. T.
"349, 350",5,297,Rev. T.
"351, 352",,,Rep.
"353, 354",5,"292, 303",Rev. T.
355,40,255,Rev. T.
356,5,304,Rev. T.
357–359,5,307–309,Rev. T.
360,5,311,Rev. T.
"361, 362",5,"306, 317",Rev. T.
363–367,5,312–316,Rev. T.
"368, 369",5,"318, 319",Rev. T.
"370, 371",5,"302, 320",Rev. T.
372,31,1010,Rev. T.
"373, 374",5,"323, 324",Rev. T.
375,31,1012,Rev. T.
376,31,1011,Rev. T.
377,5,327,Rev. T.
378,31,1013,Rev. T.
379–382,5,329–332,Rev. T.
383,44,296a,Rev. T.
"384, 385",5,"333, 336",Rev. T.
"386, 387",5,"338, 339",Rev. T.
388,5,361,Rev. T.
"389, 390",5,"363, 364",Rev. T.
"391, 392",5,365,Rev. T.
"393, 394",,,Rep.
"395, 396",5,"362, 369",Rev. T.
397–403,5,371–377,Rev. T.
404,39,431,Rev. T.
405–408,5,378–381,Rev. T.
409,5,383,Rev. T.
"410, 411",5,"385, 386",Rev. T.
412,,,Rep.
413,5,387,Rev. T.
414,,,Rep.
415,5,411,Rev. T.
416,,,Rep.
"417, 418",5,"412, 413",Rev. T.
"419, 420",5,"429, 430",Rev. T.
421,5,432,Rev. T.
422,5,"433, 434",Rev. T.
423–426,5,435–438,Rev. T.
427,,,
"428, 429",5,"418, 466",Rev. T.
430,5,431,Rev. T.
"431, 432",5,"457, 458",Rev. T.
433,,,Rep.
434,5,462,Rev. T.
435,,,Rep.
436,5,463,Rev. T.
437,43,1451,
438,43,1453,
439,43,1454,
440,,,Rep.
441,20,4361,
441,43,1457,
442,43,1458,
443,,,Rep.
444,43,1459,
445,,,Rep.
"446, 447",43,"1, 5",Rep.
"448, 449",,,Rep.
"450, 451",43,"8, 9",Rep.
452,43,11,
"453, 454",43,"2, 12",
455,43,17,
456,43,14,
457,43,835,Rep.
458,43,15,Rep.
"459, 460",43,"6, 18",
461,43,21,Rep.
"462, 463",25,"1, 2",
"464, 465",25,"8, 9",
466,,,Rep.
467,25,266,Rep.
"468, 469",,,Rep.
"470, 471",38,"1, 2",Rev. T.
471,43,784,Rep.
472,38,3,Rev. T.
473,43,785,Elim.
474,38,121,Rev. T.
"475, 476",35,"1, 2",Rev. T.
477,,,Rep.
"478, 479",35,"3, 5",Rev. T.
480–482,35,"4, 6, 7",Rev. T.
483,35,6,Rev. T.
"484, 485",,,Rep.
486–489,35,10–13,Rev. T.
490–492,,,Rep.
493,35,78,Rev. T.
494,35,20,Rev. T.
"495, 496",35,"17, 19",Rev. T.
497–500,,,Rep.
"501, 502",44,"82, 83",Rev. T.
503,,,Rep.
504,44,91a,Rev. T.
505,,,Rep.
506,44,90,Rev. T.
507–511,,,Rep.
512–515,41,1–4,Rev. T.
516,20,1,
517,20,2,
"518, 519",20,"4, 5",Rep.
520,7,2201,
"521, 522",,,Rep.
523,7,2215,
524,7,2216,Rep.
525,7,2206,
526,7,2204,
527,7,2241b,
"528, 529",7,2207,
530–564,,,Rep.
565,34,1147,Rev. T.
566,28,770,Rev. T.
567–595,,,Rep.
596,28,21,Rev. T.
597–647,,,Rep.
"648, 649",28,"770, 773",Rev. T.
650–697,,,Rep.
698,28,863,Rev. T.
699,,,Rep.
"700, 701",28,"875, 876",Rev. T.
702–710,,,Rep.
711,28,371,Rev. T.
712–714,,,Rep.
715,28,"9, 595",Rev. T.
716–720,,,Rep.
721,28,725,Rev. T.
722,42,1988,
723,,,Rep.
724,28,636,Rev. T.
725–749,,,Rep.
750,28,790,Rev. T.
751–762,28,451–462,Rev. T.
"763, 764",,,Rep.
"765, 766",28,"464, 465",Rev. T.
767,28,481,Rev. T.
768,,,Rep.
769,28,482,Rev. T.
770,,,Rep.
771,28,485,Rev. T.
