year,month,day,exec_order_no,usc_title,usc_section,status
1907,Oct.,23,703,16,668dd nt,
1907,,,705,16,668dd nt,
1910,June,23,1216,54,320301 nt,
1918,May,11,2859,36,150303 nt,
1923,June,8,3861,43,1457,
1925,Mar.,17,4175,43,1457,
1929,Oct.,1,5200,7,452 nt,Elim.
1930,July,21,5398,43,1457,
1933,Mar.,27,6084,12,nt. prec. 2241,
1933,June,8,6161,16,831u nt,
1933,,10,6166,5,901 nt,
1933,July,30,6237A,50 App.,12 nt,Elim.
1933,Aug.,28,6260,12,95a nt,Elim.
1933,Oct.,25,6359,12,248 nt,Elim.
1934,Jan.,12,6556,12,95a nt,Elim.
1934,,15,6560,12,95a nt,Elim.
1934,Feb.,22,6611,43,1457,
1934,May,23,6715,31,1105 nt,
1934,,29,6726,43,1457,
1934,,,6728,31,see 3321,
1935,Feb.,28,6979,15,715j nt,Elim.
1935,May,29,7058,12,1702 nt,Elim.
1935,Dec.,21,7252,15,703-712 nt,
1936,Jan.,28,7280,12,1702 nt,Elim.
1936,Mar.,26,7323,15,703-712 nt,Elim.
1936,May,7,7365,15,713b nt,Elim.
1936,Nov.,14,7496,16,459r nt,
1936,Dec.,21,7521,14,541 nt,
1937,Dec.,1,7756,15,715j nt,Elim.
1938,Mar.,22,7848,15,611a nt,Elim.
1939,Aug.,7,8219,15,611a nt,Elim.
1939,Sept.,5,8233,50 App.,nt. prec. 1,Elim.
1939,,,8234,50,nt. prec. 1,
1940,Apr.,10,8389,50,4305 nt,
1940,May,10,8405,50,4305 nt,
1940,June,17,8446,50,4305 nt,
1940,July,15,8484,50,4305 nt,
1940,,25,8493,50,4305 nt,
1940,Oct.,10,8565,50,4305 nt,
1940,,15,8567,50 App.,711 nt,Elim.
1941,Mar.,4,8701,50,4305 nt,
1941,,13,8711,50,4305 nt,
1941,,24,8721,50,4305 nt,
1941,Apr.,23,8743,5,3301 nt,
1941,,28,8746,50,4305 nt,
1941,June,14,8785,50,4305 nt,
1941,July,26,8832,50,4305 nt,
1941,Dec.,9,8963,50,4305 nt,
1941,,10,8964,47,606 nt,Elim.
1941,,26,8998,50,4305 nt,
1942,Mar.,11,9095,50 App.,6 nt,Elim.
1942,Apr.,21,9142,50 App.,6 nt,Elim.
1942,May,21,9170,48,1405c nt,
1942,May,29,9176,22,nt. prec. 611,
1942,July,6,9193,50 App.,6 nt,Elim.
1942,Aug.,20,9230,5,3301 nt,
1942,Dec.,5,9280,7,452 nt,Elim.
1943,Mar.,6,9310,7,427 nt,
1943,,26,9322,7,452 nt,Elim.
1943,Apr.,7,9325,50 App.,6 nt,Elim.
1943,,19,9334,7,452 nt,Elim.
1943,Sept.,25,9382,19,2 nt,Elim.
1943,Oct.,5,9383,48,794 nt,
1943,Nov.,22,9397,5,552a nt,
