plan,coverage,stat_volume,stat_page,usc_title,usc_section,status
1939 Plan No. I,All,53,1423,5 App.,,
1939 Plan No. II,All,53,1431,5 App.,,
1940 Plan No. III,All,54,1231,5 App.,,
1940 Plan No. IV,All,54,1234,5 App.,,
1940 Plan No. V,All,54,1238,5 App.,,
1946 Plan No. 2,All,60,1095,5 App.,,
1946 Plan No. 3,All,60,1097,5 App.,,
1947 Plan No. 1,All,61,951,5 App.,,
1947 Plan No. 3,All,61,954,5 App.,,
1949 Plan No. 2,All,63,1065,5 App.,,
1949 Plan No. 3,All,63,1066,5 App.,,
1949 Plan No. 4,All,63,1067,5 App.,,
1949 Plan No. 5,All,63,1067,5 App.,,Rep.
1949 Plan No. 6,All,63,1069,5 App.,,Rep.
1949 Plan No. 7,All,63,1070,5 App.,,
1950 Plan No. 2,All,64,1261,5 App.,,
1950 Plan No. 3,All,64,1262,5 App.,,
1950 Plan No. 5,All,64,1263,5 App.,,
1950 Plan No. 6,All,64,1263,5 App.,,
1950 Plan No. 8,All,64,1264,5 App.,,
1950 Plan No. 8,All,64,1264,15,41 nt,
1950 Plan No. 9,All,64,1265,5 App.,,
1950 Plan No. 9,All,64,1265,16,792 nt,
1950 Plan No. 10,All,64,1265,5 App.,,
1950 Plan No. 10,All,64,1265,15,78d nt,
1950 Plan No. 13,All,64,1266,5 App.,,Rep.
1950 Plan No. 14,All,64,1267,5 App.,,
1950 Plan No. 15,All,64,1267,5 App.,,
1950 Plan No. 16,All,64,1268,5 App.,,
1950 Plan No. 17,All,64,1269,5 App.,,
1950 Plan No. 18,All,64,1270,5 App.,,
1950 Plan No. 18,All,64,1270,40,301 nt,
1950 Plan No. 19,All,64,1271,5 App.,,Rep.
1950 Plan No. 20,All,64,1272,5 App.,,
1950 Plan No. 21,All,64,1273,5 App.,,
1950 Plan No. 22,All,64,1277,5 App.,,
1950 Plan No. 22,All,64,1277,12,1717 nt,
1950 Plan No. 23,All,64,1279,5 App.,,
1950 Plan No. 25,All,64,1280,5 App.,,
1950 Plan No. 25,All,64,1280,50,404 nt,Elim.
1950 Plan No. 26,All,64,1280,5 App.,,
1951 Plan No. 1,All,65,773,5 App.,,
1952 Plan No. 1,All,66,823,5 App.,,
1953 Plan No. 1,All,67,631,5 App.,,
1953 Plan No. 1,All,67,631,42,3501 nt,
1953 Plan No. 2,All,67,633,5 App.,,
1953 Plan No. 2,All,67,633,7,2201 nt,
1953 Plan No. 3,All,67,634,5 App.,,
1953 Plan No. 3,All,67,634,50,404 nt,Elim.
1953 Plan No. 4,All,67,636,5 App.,,Rep.
1953 Plan No. 5,All,67,637,5 App.,,
